kode;pemda;geo;lat;lon
998367;Kab. Mappi;MultiPolygon;-6,568574022;139,0750607
998350;Kota Tidore Kepulauan;MultiPolygon;0,515060997;127,5673917
998346;Kab. Halmahera Timur;MultiPolygon;1,060693343;128,3675037
998332;Kab. Kepulauan Sula;MultiPolygon;-1,912656608;125,8161612
998325;Kab. Halmahera Selatan;MultiPolygon;-0,693985927;127,7038638
998311;Kab. Halmahera Utara;MultiPolygon;1,803047342;127,8988611
998304;Kab. Konawe Selatan;MultiPolygon;-4,311582541;122,6827776
998299;Kab. Pasangkayu;MultiPolygon;-1,473240443;119,4593016
998278;Kab. Bone Bolango;Polygon;0,396124434;123,2655604
998261;Kab. Pohuwato;MultiPolygon;0,660706448;121,5343956
998257;Kota Tomohon;Polygon;1,328474499;124,7912822
998240;Kab. Minahasa Selatan;MultiPolygon;1,121346553;124,4691256
998236;Kab. Balangan;Polygon;-2,204874377;115,6448743
998222;Kab. Tanah Bumbu;MultiPolygon;-3,476616761;115,711527
998215;Kab. Kaur;Polygon;-4,658162873;103,4552846
998201;Kab. Seluma;Polygon;-4,159319629;102,6966338
998193;Kab. Belitung Timur;MultiPolygon;-2,99073203;108,1756851
998189;Kab. Bangka Selatan;MultiPolygon;-2,879508321;106,6206161
998172;Kab. Bangka Tengah;MultiPolygon;-2,367410956;106,2213062
998168;Kab. Bangka Barat;MultiPolygon;-1,736796181;105,5010934
998151;Kab. Humbang Hasundutan;MultiPolygon;2,248641213;98,69477061
998147;Kab. Pakpak Bharat;Polygon;2,565656968;98,19114047
998130;Kab. Nias Selatan;MultiPolygon;0,078352107;98,2653798
998126;Kota Banjar;Polygon;-7,377975249;108,5481515
997625;Kota Bima;Polygon;-8,434425803;118,7745994
997611;Kota Pariaman;MultiPolygon;-0,614217951;100,1442733
997604;Kota Palopo;MultiPolygon;-2,980834485;120,1562743
997599;Kab. Mamasa;Polygon;-2,983785439;119,5183674
997582;Kab. Parigi Moutong;MultiPolygon;-0,072227366;120,5044684
997578;Kab. Rote Ndao;MultiPolygon;-10,69590723;123,1727772
997561;Kab. Penajam Paser Utara;MultiPolygon;-1,135637554;116,625245
997557;Kab. Banyuasin;MultiPolygon;-2,320450036;104,6495408
997540;Kab. Barito Timur;Polygon;-2,00509462;115,3084677
997536;Kab. Murung Raya;Polygon;0,03924642;113,8845799
997522;Kab. Pulang Pisau;Polygon;-3,281707151;113,8721038
997515;Kab. Gunung Mas;Polygon;-0,679913553;113,4752426
997501;Kab. Lamandau;Polygon;-1,799907199;111,3384078
997493;Kab. Sukamara;Polygon;-2,707173241;111,069472
997489;Kab. Seruyan;Polygon;-2,093082919;112,0990099
997472;Kab. Katingan;MultiPolygon;-2,27887557;113,0949484
997468;Kab. Aceh Tamiang;MultiPolygon;4,310345927;98,05106646
997451;Kab. Nagan Raya;Polygon;4,122246197;96,51735791
997447;Kab. Aceh Jaya;MultiPolygon;4,862741465;95,4953366
997430;Kab. Gayo Lues;Polygon;3,892815374;97,44188462
997426;Kab. Aceh Barat Daya;MultiPolygon;3,801342687;96,76451341
997412;Kab. Kepulauan Talaud;MultiPolygon;4,208297749;126,7934797
994782;Kota Bau-bau;MultiPolygon;-5,439229675;122,6603062
994775;Kota Singkawang;Polygon;0,895646844;109,0489556
