city,city_ascii,lat,lon
Soe,Soe,-9.8667,124.2833
Ampana,Ampana,-0.8667,121.5833
Leramatang,Leramatang,-8.4,123.57
Bangkinang,Bangkinang,0.35,101.0333
Betun,Betun,-9.4953,124.9603
Manggar,Manggar,-2.89,108.27
Barru,Barru,-4.3587,119.6399
Sabang,Sabang,5.8942,95.3192
Masamba,Masamba,-2.5531,120.3275
Bayur,Bayur,-0.261,100.222
Namlea,Namlea,-3.25,127.0833
Tambolaka,Tambolaka,-9.4333,119.2333
Saparua,Saparua,-3.5749,128.647
Praya,Praya,-8.7223,116.2923
Sungaiselam,Sungaiselam,-2.3839,105.98
Tahuna,Tahuna,3.6119,125.5008
Pangururan,Pangururan,2.6075,98.6959
Tobelo,Tobelo,1.7319,128.0078
Waikabubak,Waikabubak,-9.6358,119.4131
Rappang,Rappang,-3.8447,119.8205
Airmadidi,Airmadidi,1.4333,124.9833
Tinipuka,Tinipuka,-4.5485,136.8895
Tegalbuleud,Tegalbuleud,-7.3578,106.622
Bungku,Bungku,-2.5333,121.9667
Bintuni,Bintuni,-2.1167,133.5333
Blangmangat,Blangmangat,5.1881,97.1403
Tapaktuan,Tapaktuan,3.25,97.1667
Tembagapura,Tembagapura,-4.1428,137.0906
Puruk Cahu,Puruk Cahu,-0.6384,114.5677
Kuala Pembuang,Kuala Pembuang,-3.3871,112.5434
Teminabuan,Teminabuan,-1.4333,132.0167
Fakfak,Fakfak,-2.9167,132.3
Kalabahi,Kalabahi,-8.2167,124.5167
Kasongan,Kasongan,-1.8959,113.3878
Kolonodale,Kolonodale,-1.9833,121.3333
Buntok,Buntok,-1.719,114.8448
Ransiki,Ransiki,-1.5,134.1667
Cipanas,Cipanas,-6.733,107.041
Melonguane,Melonguane,4.0045,126.6827
Painan,Painan,-1.3511,100.5756
Sungai Guntung,Sungai Guntung,0.2956,103.6114
Kaimana,Kaimana,-3.6444,133.6953
Kuala Kurun,Kuala Kurun,-1.1016,113.8664
Sonosari,Sonosari,-7.8014,110.3644
Ubud,Ubud,-8.5069,115.2624
Pajo,Pajo,-8.5167,120.3333
Maba,Maba,0.7,128.3
Putussibau,Putussibau,0.8575,112.925
Ban,Ban,-8.2333,115.4833
Tamiang Layang,Tamiang Layang,-2.116,115.1691
Modisi,Modisi,0.4517,124.4367
Makale,Makale,-3.1,119.85
Haria,Haria,-3.5833,128.6167
Tlagasana,Tlagasana,-7.1786,109.5057
Slateng Dua,Slateng Dua,-8.1324,113.9836
Tarutung,Tarutung,2.0167,98.9667
Karimunjawa,Karimunjawa,-5.8192,110.459
Jantho,Jantho,5.3,95.6333
Galela,Galela,1.8236,127.8431
Buton,Buton,4.217,108.2
