kode,pemda,geo,lat,lon,2018,2022
993017,Kota Palu,Polygon,"-0,814801212","119,8737108",0.3045480007595486,0.3045480007595486
993000,Kab. Banggai,MultiPolygon,"-0,896735166","122,7679963",0.3047992498224428,0.30477255464804265
992998,Kab. Toli-Toli,MultiPolygon,"1,023141941","120,6624732",0.30768988098761,0.30856494633838416
992981,Kab. Donggala,MultiPolygon,"-0,301313944","119,7813131",0.3045480007595486,0.3045480007595486
992977,Kab. Poso,MultiPolygon,"-1,511503618","120,5648456",0.3895636294586485,0.4040283203124997
992956,Kota Pare-pare,Polygon,"-4,023792482","119,6538658",0.3045480007595486,0.3045480007595486
992942,Kota Makassar,MultiPolygon,"-5,131838044","119,4312243",0.3055625345249364,0.3058862859552557
992935,Kab. Enrekang,Polygon,"-3,45395044","119,8858946",0.3295196964764838,0.33360153660629716
992921,Kab. Polewali Mandar,MultiPolygon,"-3,363315633","119,2056858",0.3295196964764838,0.33360153660629716
992914,Kab. Soppeng,Polygon,"-4,339853577","119,8929216",0.3045480007595486,0.3045480007595486
992900,Kab. Pangkajene Kepulauan,MultiPolygon,"-6,185371593","118,2622575",0.304540436099274,0.304540436099274
992892,Kab. Sidenreng Rappang,Polygon,"-3,859026536","119,8998269",0.3295196964764838,0.333601511945628
992888,Kab. Barru,MultiPolygon,"-4,369491905","119,6622715",0.3045480007595486,0.3045480007595486
992871,Kab. Takalar,MultiPolygon,"-5,457061992","119,3476754",0.3055625345249364,0.305899183485243
992867,Kab. Kepulauan Selayar,MultiPolygon,"-6,932425322","120,9405182",0.304540436099274,0.304540436099274
992850,Kab. Jeneponto,MultiPolygon,"-5,541235737","119,7218361",0.3055625345249364,0.305899183485243
992846,Kab. Bantaeng,Polygon,"-5,491358543","119,9698593",0.3055625345249364,0.305899183485243
992832,Kab. Bulukumba,MultiPolygon,"-5,459034029","120,2539288",0.3578337513316756,0.37227831291429914
992825,Kab. Sinjai,MultiPolygon,"-5,20965562","120,1181896",0.3578337513316756,0.37227831291429914
992811,Kab. Luwu,MultiPolygon,"-3,081491724","120,159793",0.374898909751815,0.40636581883285927
992804,Kab. Majene,MultiPolygon,"-3,251134887","118,8994748",0.3045480007595486,0.3045480007595486
992799,Kab. Maros,MultiPolygon,"-4,955691213","119,7028021",0.3045480007595486,0.3045480007595486
992782,Kab. Tana Toraja,Polygon,"-2,995062465","119,6781583",0.3120919214113793,0.3191759144176137
992778,Kab. Bone,MultiPolygon,"-4,713815259","120,1393939",0.405655116842251,0.4468920898437501
992761,Kab. Mamuju,MultiPolygon,"-2,479607061","119,3240456",0.3120919214113793,0.3191759144176137
992757,Kab. Wajo,Polygon,"-4,036198606","120,1918524",0.405655116842251,0.446892108339252
992740,Kab. Gowa,Polygon,"-5,376857615","119,7135064",0.3055625345249364,0.3058887150311711
992736,Kab. Pinrang,MultiPolygon,"-3,735303633","119,5943531",0.3295169714725381,0.33360153660629716
992579,Kab. Sumba Barat,MultiPolygon,"-9,651662697","119,346443",0.3057697642933236,0.30596211134785334
992562,Kab. Sumba Timur,MultiPolygon,"-9,886143895","120,172761",0.307208529385653,0.3077871488320703
992558,Kab. Manggarai,MultiPolygon,"-8,570010669","120,3906861",0.304540436099274,0.304540436099274
992541,Kab. Ngada,MultiPolygon,"-8,600385942","120,9787173",0.304540436099274,0.304540436099274
992537,Kab. Ende,MultiPolygon,"-8,669188469","121,8209513",0.304540436099274,0.304540436099274
992520,Kab. Flores Timur,MultiPolygon,"-8,359646705","122,9533097",0.304570367986506,0.7099491497001256
992516,Kab. Sikka,MultiPolygon,"-8,59185898","122,1680595",0.304570367986506,0.304628468523122
992502,Kab. Alor,MultiPolygon,"-8,330551808","124,3721219",0.3062298953894413,0.30656653818458046
992494,Kab. Timor Tengah Selatan,Polygon,"-9,69528752","124,391574",0.3045463115037093,0.3045757378472222
992480,Kab. Timor Tengah Utara,Polygon,"-9,377069649","124,4941406",0.3045463115037093,0.30457571318655297
992473,Kab. Belu,Polygon,"-9,196404231","124,937926",0.3045463115037093,0.30457571318655297
992469,Kab. Kupang,MultiPolygon,"-10,07124921","123,6915415",0.3045494803997,0.3045494803997
992448,Kota Mataram,Polygon,"-8,593928658","116,1187352",0.3045594248145515,0.3045697884607794
992431,Kab. Dompu,MultiPolygon,"-8,481588589","118,1921683",0.3154492865668402,0.3171585113833649
992427,Kab. Sumbawa,MultiPolygon,"-8,61303032","117,5110934",0.304540436099274,0.304540436099274
992410,Kab. Bima,MultiPolygon,"-8,520404215","118,7507301",0.3154492865668402,0.3171410701250789
992406,Kab. Lombok Timur,MultiPolygon,"-8,660588062","116,5393242",0.3045594248145515,0.3045697884607794
992391,Kab. Lombok Tengah,MultiPolygon,"-8,757795836","116,2752301",0.3045594248145515,0.3045697884607794
992384,Kab. Lombok Barat,MultiPolygon,"-8,748041463","116,0402299",0.3045560524680397,0.3045697884607794
992363,Kota Denpasar,MultiPolygon,"-8,672005272","115,2072534",0.3506681500059184,0.35606783780184637
992359,Kab. Tabanan,MultiPolygon,"-8,419911237","115,0557776",0.3506681500059184,0.357480635209517
992342,Kab. Badung,MultiPolygon,"-8,577711576","115,1993253",0.3506681500059184,0.35722420740609145
992338,Kab. Bangli,Polygon,"-8,332628495","115,3399688",0.3506681500059184,0.35722420740609145
992321,Kab. Karangasem,MultiPolygon,"-8,398074385","115,5382321",0.3506681500059184,0.35771735297309026
992317,Kab. Gianyar,Polygon,"-8,499604244","115,3115841",0.3506681500059184,0.35722420740609145
992300,Kab. Klungkung,MultiPolygon,"-8,602248878","115,4202048",0.3499671519886358,0.35722420740609145
992295,Kab. Jembrana,MultiPolygon,"-8,309775668","114,6845043",0.4490195904356054,0.47053098119870557
992281,Kab. Buleleng,MultiPolygon,"-8,200656074","114,9184977",0.4490109715317227,0.47052184442077033
992260,Kota Banjarmasin,Polygon,"-3,340148365","114,5784617",0.3627818406230275,0.3678143557153564
992253,Kab. Hulu Sungai Utara,Polygon,"-2,484298868","115,2442003",0.3754741075303823,0.377748943290325
992249,Kab. Kotabaru,MultiPolygon,"-3,501050265","116,1383854",0.3596405769116945,0.3626872546263401
992232,Kab. Tabalong,Polygon,"-1,823479114","115,5122313",0.3731256781684016,0.3837042667889832
992228,Kab. Barito Kuala,MultiPolygon,"-3,229985307","114,5722559",0.3627818406230275,0.36781436804569106
992211,Kab. Hulu Sungai Tengah,Polygon,"-2,656861048","115,5548714",0.3754744342842492,0.37774896795099416
992207,Kab. Hulu Sungai Selatan,Polygon,"-2,719344463","115,3059061",0.3754761666962599,0.37760022712476315
992192,Kab. Tapin,Polygon,"-3,02323848","115,1339392",0.4123147798788668,0.43646317915482874
992185,Kab. Tanah Laut,MultiPolygon,"-3,773256756","114,8740722",0.3627818406230275,0.3678143557153564
992171,Kab. Banjar,Polygon,"-3,315342212","114,9426625",0.3627818406230275,0.36781436804569106
992150,Kota Balikpapan,MultiPolygon,"-1,169010348","116,8595077",0.3543268007220644,0.3548937125157822
992143,Kota Samarinda,Polygon,"-0,476888758","117,190146",0.3822371974135889,0.3917072581281567
992139,Kab. Berau,MultiPolygon,"1,652796449","117,9861615",0.3646327718098955,0.3696154230291192
992122,Kab. Bulungan,MultiPolygon,"3,10002905","117,4613375",0.3497638617621528,0.3510597182765149
992118,Kab. Paser,Polygon,"-1,453248485","116,284525",0.3542789281979961,0.35488418733230725
992101,Kab. Kutai Kartanegara,MultiPolygon,"-0,662161385","117,3480736",0.3822371974135889,0.3917072581281567
